代码	名称	涨幅%%	现价	流通市值	流通股本(万)	市盈(动)	细分行业	当日___超大单	5分钟___涨幅%%	换手%%	今开	最高	最低	昨收	活跃度	总金额	量比	涨跌	
600067	冠城大通	0.28	7.19	        106.97亿	     148779.45	   156.19	全国地产	 -210.6万	0.13	          0.42	7.21	7.21	7.12	7.17	    860	44765944	  0.46	0.02	
600048	保利地产	0.22	9.20	        989.82亿	    1075891.13	    11.00	全国地产	  -1176万	0.10	          0.30	9.18	9.21	9.14	9.18	   2212	292561600	  0.59	0.02	
002146	荣盛发展	0.39	7.76	        261.01亿	     336359.06	    12.95	全国地产	  131.8万	0.12	          0.46	7.70	7.81	7.63	7.73	   2309	120846024	  0.80	0.03	
002133	广宇集团	0.13	7.94	         47.76亿	      60150.46	    20.02	全国地产	  425.8万	0.00	          6.28	8.08	8.08	7.76	7.93	   3634	299702112	  0.74	0.01	
001979	招商蛇口	2.50	16.40	        289.62亿	     176595.06	    16.92	全国地产	   3.31亿	0.00	          3.37	16.02	16.50	15.82	16.00	   4222	970407424	  1.82	0.40	
000918	嘉凯城	0.78	9.09	        164.00亿	     180419.16	--  	全国地产	   2815万	0.00	          2.10	8.98	9.19	8.93	9.02	   3827	342866080	  1.01	0.07	
000797	中国武夷	-0.35	17.30	         74.08亿	      42818.08	   108.02	全国地产	  151.8万	0.05	          0.44	17.34	17.37	17.18	17.36	    615	32692194	  0.51	-0.06	
000736	中房地产	0.41	17.15	         50.97亿	      29719.39	  5889.62	全国地产	  155.3万	0.35	          1.15	16.88	17.58	16.82	17.08	   1517	58653532	  1.01	0.07	
000667	美好集团	--  	4.00	        102.38亿	     255958.70	    18.74	全国地产	--  	--  	          0.00	--  	--  	--  	4.00	      0	0	  0.00	--  	
000620	新华联	-2.41	9.33	        171.39亿	     183694.64	    83.67	全国地产	  -1992万	0.10	          0.67	9.52	9.52	9.28	9.56	   2286	115314736	  0.88	-0.23	
000616	海航投资	-0.52	5.70	         81.52亿	     143021.13	   810.26	全国地产	 -842.8万	0.00	          1.28	5.71	5.74	5.64	5.73	   1786	104468032	  0.89	-0.03	
000402	金 融 街	-1.43	11.02	        329.16亿	     298696.50	    21.71	全国地产	  -6107万	0.00	          0.89	11.14	11.16	10.99	11.18	   3266	292787904	  0.81	-0.16	
000046	泛海控股	-0.57	10.38	        472.28亿	     454988.69	    29.62	全国地产	    9.0万	-0.19	          0.06	10.43	10.44	10.32	10.44	   1395	27056346	  0.48	-0.06	
000043	中航地产	--  	8.56	         57.08亿	      66678.07	   849.05	全国地产	--  	--  	          0.00	--  	--  	--  	8.56	      0	0	  0.00	--  	
000042	中洲控股	-0.05	19.28	         93.41亿	      48451.46	   242.23	全国地产	  210.4万	-0.10	          0.40	19.39	19.39	19.20	19.29	    657	37300220	  0.81	-0.01	
000040	东旭蓝天	-1.38	12.90	         59.93亿	      46458.83	   107.15	全国地产	 -828.3万	0.00	          0.56	13.10	13.10	12.87	13.08	    919	33578116	  0.68	-0.18	
